"","points.1","points.2"
"B.US..91C22_D0_D8_2_c_S64.MH632785",105.035318671018,-1.52406960668883
"C.MW.2012.CH1754.3.d0609.ipe021_15.51.MF501888",-174.968139133696,-60.8240348621825
"C.MW.2009.CH1012_3_d0246_ipe017_30_33.MG899164",-168.795033367408,-46.7275492557712
"B.US.2003.04013321_2_2D9.GU330570",116.170388100348,-9.69987995209584
"B.US.2002.04013211_3_B19.GU330350",133.362796782139,-3.28745020705764
"B.US.2012.T8250_2H11.KU901915",120.243547000354,-12.598073922424
"A1.KE..MI206_W0M_ENV_E1.DQ208463",-107.495865186878,75.4375434115226
"B.US.2007.CH0040_3_d0197_ipe032_2_03.MG900201",125.633490631832,1.49508959189048
"C.IN.2000.DEMC00IN005.KP109480",-175.23272961374,-46.0495150252114
"B.CN..BJ171.13.MN617379",108.667949971628,-10.5288771516741
"B.US.1997.9017_01_A27.EU575837",107.891277536318,3.47093821842003
"07_BC.CN.2007.BJOX019000.e22.KM217933",-160.108404129247,-35.3926497487414
"B.US.2008.CH0040_3_d0568_ipe032_3_53.MG900338",126.855998123985,0.449348761070143
"0107.CN.2020.HB030021.MW728363",-117.917066199982,173.769040247189
"02_AG.FR.1999.46.MH742764",-98.7445781650305,73.4313432833916
"B.US.2018.101PB16C10.MK169475",114.199140252761,6.45766108469656
"C.ZA.2007.CHV0010292_706010151_2F3.FJ444079",-161.371463385825,-54.6293630491704
"B.US.2017.00834_PH401_W12_3HG22_BAR40_Seq1_Phase0_NumReads493.MT307631",65.5405565171668,17.7747014560286
"C.MW.2008.CH0848.3.d0043.50.30.KX217122",-165.532371403304,-84.5185517783319
"B.US.2015.A5340A10.w006.KX587345",84.9819903467528,-4.14964945393794
"B.US.2014.2E5D00731Pl1.F4e_S1.KX028637",114.104266070292,7.47812614106855
"B.US.1994.Pt21_St_1994_RNA_411.ON015154",115.517590805137,-13.5783554695199
"C.ZM.2010.ZMN133M_07Apr2010_CP_5.B_E.MT195489",-168.584399430119,-69.4306656706152
"B.US.2009.Pt1_DH_DNA_end4_1.ON015266",113.417521960041,-1.52849955193712
"B.US.2016.9244_W0_1N2_S5.MK115206",115.446311613417,-18.4159028490841
"B.US.1993.P1031_8.07_10A.KT283800",114.004210373278,-8.92632490779532
"B.US.2016.10430PH345_w103half3.MT307882",118.02046162701,-12.9625666232262
"C.MW.1996.C113_G9_B.HM639217",-168.029623555773,-56.5061520836637
"01_AE.TH.2014.40512v22_env09.OM826675",-124.463777795991,179.179895723878
"B.US.1997.9019_03_p10.EU575850",118.958227523324,-15.3178671854379
"B.GB.2005.MM39_d0280_ipe015_SGA_233.MG902613",124.891783323717,-7.13741276546013
"B.US.2009.9044_100709_CSF_9.KM354603",97.1340512160088,-18.9011522910356
"B.CA.2017.ART2p24100p1E8_53_53C0P0_495.ON816222",120.710839178096,-13.1441486387737
"C.ZA.2007.20258279_3F11.JQ753755",-161.232169099513,-58.7300496931236
"02_AG.SN.1999.3273_p21_1.HM215293",-96.4157434596588,79.5810126284295
"C.MW.2009.4017_CSF_Visit1_amplicon8.KC186288",-169.506305373385,-57.199895949252
"B.US.2013.IQA280.PBMC.SGA4.2.KR182359",107.098278661382,-17.1223903590801
"B.US.1999.AD18_A14.GU331466",120.176241541329,-19.7158602657294
"01_AE.TH..3098F5.H22.KJ952842",-127.739932378022,182.413884355529
"B.US.1990.WEAUd23_5G11.EU579196",120.741065250171,-3.74760206512092
"C.MW.2010.CH0694_3_d0896_ipe018_81_12.MG898535",-172.393083721805,-59.7854998973794
"B.US.2008.B.700010470.w08.69dps.3_A3.JX972294",68.2395567679023,8.99327258929966
"01_AE.TH..9574P00Re.MK867628",-126.040954634181,175.6242601347
"B.US.2014.2C5D00422.D10_S3.KX028076",106.408146254663,-8.54128999394073
"B.US.2007.CH40d412.D8.JQ957635",124.546247767592,-1.53841463990245
"B.US..5104_Enriched_J24_S230.ON662418",102.770429911875,-13.9825897936275
"B.US..B207_CD4_p1_I20_S220.ON664305",125.899910016503,-10.5813262772458
"B.US.2016.A02.CD4T.C2.55H1.MH263966",87.3992246219031,11.6054146253563
"B.US.2018.120_SGA_Rebound_P8_G5_Sep_29.MK170049",122.772664430603,-15.7055209333454
"C.ZM.2003.17M.PL.208.KY229605",-173.279088784507,-82.5159973709573
"B.US..605_enriched_p2_K19_S43.ON663842",112.140849308434,-27.4702501749713
"C.MW.2008.4403_C6.HM070687",-165.350282815856,-65.0065458099875
"B.NL.1997.H3_110_8D3.EU744095",117.574957969525,-8.07582208201675
"B.US.2016.616_D14_2B_24.MH263571",109.951092070045,0.475614856903226
"01_AE.TH.2010.40094v09_10.MN792061",-117.498567310339,186.799155319373
"G.US.2016.00926_PH331_W6_2_3HG19_BAR35_Seq1_Phase0_NumReads497.MT307674",-95.7914135806928,81.9095370973721
"C.MW.2008.0702bmL_B24.HM070514",-172.248168666304,-33.8772041980552
"B.US.2019.5111WK26PL13H14.OM204007",113.68953531407,-18.7003319491208
"01_AE.TH.2013.40512v18_ENV13.OM826588",-124.168252368238,184.086021140153
"B.US.2006.GETO5098_A5.HQ217260",102.600151461507,-6.91374807897751
"B.US.2002.Z34_F6.EU577738",109.034541743242,-16.5012831568629
"B.US.1998.1059_08_E3.EU578917",123.416147281962,-4.12349208839236
"C.MW.2010.CH0752_3_d0699_ipe023_7_12.MG901736",-170.400148783352,-30.3437736191223
"U.MW.2009.4009_Plasma_Visit1_amplicon5.KC187243",-103.117434186694,32.2675661994406
"C.IN.2015.329_15_A4.MK076613",-168.563637043687,-24.6585794092903
"A6.RU.2008.08_RU_SP_K84_V_B7.GU481318",-100.006859036608,81.1754797066769
"D.TZ.2011.30156v20_env05.OM825218",50.1385051355855,3.8095129964107
"C.MW.2011.CH1754.3.d0189.ipe021_1.MF501654",-180.11109698094,-54.3978287560353
"B.US.2014.2E5W60810Pl8.B9_S4.KX028736",114.584929951619,9.00357416641233
"01_AE.TH.2015.40511v27_env17.OM826945",-122.152385013415,179.477700866821
"B.US.1999.CA110_SP14_30_17.JN786813",112.624749198825,-6.61664404703334
"C.ZM.2011.ZM1047M_27Sep2011_1A_17_E.MT194297",-167.510223376562,-63.1346201871191
"B.US.2016.9252_W12_12E5_S23.MK115788",111.791647246142,-27.9958885247469
"B.US.2007.B.700010040.w36.283dps.3_D3.JX972228",125.271364622816,2.26355867174015
"B.US.2016.9244_wk12_7_I6.MW061142",114.731395436636,-19.0564783299493
"B.US.2007.CH40d284.C5.JQ957619",125.927834172898,-1.90426759563978
"B.US.2008.700010654.3.d0015.ipe026.3B11.MF499165",128.801103333281,-13.1146476789019
"B.US.2005.P062411C3.KM259416",120.002437892227,-17.5454645921686
"B.US.1992.1039m.22.MT861731",129.104637875232,-12.2589844139165
"B.US.2003.H135v1ed3_2.DQ410467",121.413180343126,-7.41957085139554
"B.US.2006.45_06TA2.JQ609805",118.603385885463,1.2897912516081
"B.US.2007.P040212G11.KM259361",79.8193864082417,18.0696757957373
"B.US.2018.101PB14L1.MK169435",108.652741630628,9.79736789157012
"B.US.2015.3DONOR1rCD4Rep2.1_F7.p1b14.KY553073",89.4570387760646,-3.44070597203734
"01_AE...ID107pv1p4H1_S328_L001_001.OP031549",-114.337475944195,173.956183789662
"41_CD.TZ.2003.CO6952V1.KX907430",-96.4017925258367,56.3414941972664
"B.GB.2003.MM33.02.SGS.55.MT794298",116.949453069475,-7.61244319679005
"01_AE.TH.2000.3118A16.A8.KJ952977",-120.690681858176,187.080298862779
"B.US.2014.2A1D00409.E7_S8.KX027754",119.281233722411,-8.51250549981958
"B.US.2013.IQA290.Urine.SGA1.1.KR182442",85.8038119787946,-2.66490123035769
"B.US.1993.1730i.1.13.MT861229",120.943632257624,-14.5579998775515
"B.US.2015.A13.CD4T.C1.41G12.MH264348",105.410703905163,-9.47838821291536
"C.TZ.2000.TZA125.VRCA.MK501600",-176.010673487194,-64.846755925101
"B.DE.2016.1HD8KW4070116Pl3C6_S63.KY324786",122.080974014511,-18.7960110858229
"B.US.2007.CH40d181_J3.FJ496092",125.633490631832,1.49508959189046
"A6.RU.2011.CHRGC11.MH604497",-109.143901833067,79.5422021576556
"C.MW.2008.CH0752_3_d0136_ipe023_10_25.MG901450",-170.515032137841,-31.9436919346837
"F1.RO.1996.BCI_R07.AB485659",-82.3756720268907,64.0524192837342
"C.MW.2010.CH1754.3.d0021.ipe021_40.53.MF501367",-177.307943445802,-56.3542352305199
"01BC.MM.2014.mKSDU24.KU820848",-152.844253358484,-25.5377329321316
"C.ZM.2003.Z205FPB14NOV03ENV1.2.GQ485424",-158.236789801771,-53.4867885883629
"C.MW.2008.C.703010159.w96.648dps.e3.JX972731",-152.014460860138,-53.8725211265465
"B.CH.2001.NAB1pre_cl_12.EU023916",119.08336167382,-11.1085657672133
"B.US.1992.102605i_15.MH013133",119.596361605274,-6.91232800456681
"B.US.2008.B.700010470.w08.69dps.3_B14.JX972300",69.4871802433066,11.0079673217602
"A1CD.TZ.2012.30196v22_env11.OM825431",-82.2118591089159,41.3105210405251
"B.US.2006.701010068_E_A9.GU331099",94.3740765985063,1.07433257564673
"B.BE.2005.N2_DAY_1.FJ653246",106.401760098823,-7.3827052612877
"C.ZA.2014.Pt4.2_S1382.MK643740",-168.890483894802,-40.8161745749821
"B.US.2010.1683.PBMC.CAD.08262010.ENVSeq20.MK148544",97.7231301065482,11.2327544219498
"C.MW.2008.CH0848.3.d0022.500.48.KX216992",-165.532371403303,-84.5185517783319
"B.US.2004.USPI71101EI21y04061pcWG2B14.JN024228",116.093993374962,-8.27438682778175
"B.US.2011.CH0040_3_d1737_ipe032_25_27.MG900555",124.118358853248,-5.09242625749663
"C.ZA.1999.99ZASW30.FJ846648",-165.574180746399,-37.2884235463483
"B.US.1985.CC101_8_18.AY357387",123.903870313134,-2.86242566520867
"01_AE.TH.2013.Pt5_PreART_32.ON902126",-113.451682121131,159.491799921589
"C.MW.2008.CH0848.3.d0049.10.08.KX217138",-165.464941748442,-84.4657495204467
"C.MW.2010.4061_Plasma_Visit1_amplicon14.KC186440",-168.442819798667,-60.9611183585972
"A6.RU.2007.07_RU_SP_SC3208_VI_B5.GU481646",-106.831902049429,74.3801298252807
"B.US.2017.01095_PH384_W13_3HG20_BAR20_Seq2_Phase3_NumReads94.MT307828",101.259267841175,8.74771206706925
"B.US.1995.Pt23_Pi_2015_RNA_22.ON015246",127.708229412346,-16.0314044891849
"02_AG.CM.2008.08CMBDSH131.MN153486",-100.572065448774,70.0097508826284
"B.US.2006.MCRO_C9.EU578227",115.062123528389,-7.79700891997631
"C.MW.2008.4403bmLwk4_fl7.KF527173",-166.847579291185,-64.5783763376726
"A1.KE.2013.20355v26_env21.OM824851",-107.530032210768,68.6778795052735
"B.US.2006.C053112B9.KM259068",121.963705317374,-10.7601342448036
"B.US.2019.TSC141V1PL4E17.OM208383",109.300030675877,-8.59108064414648
"C.ZA.2010.MSM118.KF725928",-169.859337871356,-60.2858395606159
"A1A2D.KE.2010.20368v09_01R.MN791555",-91.7917286781145,72.7834473320834
"C.MW.2009.CH0752_3_d0527_ipe023_7_29.MG901672",-170.548852712756,-29.1207121315379
"01_AE.TH.2011.40007v17_ENV02.OM825727",-115.596429287489,180.408207817102
"C.ZM.2005.ZM394_200394_7.GU329220",-159.338394189862,-11.7919672395697
"01_AE.TH.2013.40512v18_ENV06.OM826582",-121.590988512694,180.897877050087
"B.US.2018.120_SGA_Rebound_P6_H3_Sep_26.MK170039",112.059060587491,-23.3077621041904
"B.US.1999.AD17_G12.GU331444",120.81740746715,-18.6268126248661
"01_AE.TH.2014.Pt11_PreART_74.ON902564",-123.514692513225,174.140956914287
"C.MW.1996.C019_1D6_3B.HM638939",-172.899644652575,-78.5859625498883
"B.US.2015.A02.CD4T.C1.5H6.MH263951",85.9383553455509,9.30344296596122
"B.CA.2017.ART6_91A6_58C0P0_478.ON816550",98.8471337760205,8.68752346244041
"01_AE.TH.1999.3162A10.C10.KJ953378",-129.278808357861,197.155024424764
"C.MW.2007.CHV0010237_703010228_1D9.FJ444025",-155.833446332806,-46.1872141926178
"B.US..5104_Enriched_p1_G11_S324.ON662477",102.770429911875,-13.9825897936275
"A6.RU.2011.AHID3G8.MH604186",-108.979584842542,78.0091107669819
"B...Pat7day60clone22.KT452236",119.55422822873,-19.16976011324
"C.ZA.2005.CHV0004223_CAP63.1.00C5.FJ443217",-164.316095937035,-62.7583285210357
"B.US.2008.F2P5219G9.JQ250924",109.798669021319,-11.8491257747105
"C.MW.2009.4036_CSF_Visit1_amplicon2a.KC187710",-165.092069301414,-68.5481496601751
"02A1F2.DK.2020.ID211p6B8_S41.ON542727",-91.8307825048106,58.4327532494562
"C.MW.2007.702010141.e26.JQ779300",-173.360078826585,-19.3447194948555
"B.CN.2009.09057.MK054059",98.6009235258006,-9.43141869935103
"B.US.2014.2C4W40406.D9_S3.KX028059",110.759756214422,0.205405681199427
"B.US.2003.04013291_1_A8.GU330504",113.683791287594,-5.48805455754834
"B.US.2004.USPI71101EI127y04091pcWG2B2.JN024514",117.010484739213,-8.16672668961925
"C.ZA.2006.CAP177_2000_004wpi_cvl_59.MK205532",-179.23894120361,-59.8372633246709
"01_AE.TH.2008.AA032a04.JX447074",-118.987481218472,180.256537207485
"B.DE.2016.1HD4KW1071116H3_S20.KY324557",111.198238980527,7.84764159072585
"C.ZA.2007.C.x.07.CAP248.4.19D5b.KC863437",-176.773691889324,-30.841723804196
"C.MW.2011.CH0848.3.d1120.10.49.KX217807",-163.003135348556,-86.6590835888301
"B.US.2015.1HC2D0012216H10_S82.KY324110",100.074767178209,-10.3738286293297
"C.ZA.2007.BP00002_SUP_02.JN687790",-179.208895855351,-55.6817109145545
"B.US.1991.101421i.2.11.MH012925",118.445077514999,-13.0437863266173
"C.MW.2012.CH1754.3.d0734.ipe021_15.41.MF502000",-171.340103279287,-56.2643632415167
"B.DE.2016.1HD6KW4070516E1_S24.KY324723",120.394778655895,-1.27445817370761
"C.MW.2008.CH0694_3_d0129_ipe018_3_9.MG898083",-164.026146781497,-60.6092597410166
"C.MW.2010.CH0848.3.d0700.15.06.KX217500",-161.900029089099,-86.2553657652773
"C.MW.2008.4403bmL_F2.HM070734",-168.430467522526,-65.5940819915562
"B.US.2016.5104_CMV_AIM_M24.MT189322",102.338562189271,-16.476404655565
"B.US.2003.04013296_3_B5.GU330539",120.523163461136,6.99303358483526
"B.US.2003.RHGA_D2.KC312500",113.650139184965,-18.2531997049281
"B...Pat13day113clone20.KT452330",110.913531320722,-5.28116303731668
"B.JP.2005.DR6826.AB588268",117.504072241314,-10.534597253723
"B.US.2006.CH19E_D16.EU576388",120.680565147167,1.93042410609318
"C.MW.2007.703010010.3.d0026.ipe019.13.MF499800",-172.258960509771,-63.2640383236958
"B.US.2011.HIV_USA_AC04_post.MW924804",59.4203431338761,16.4448265022587
"C.ZA.2010.CAP357_4170_070wpi_DK0015.MK205783",-166.095878705862,-72.2272993992487
"01_AE.TH.2011.40139v0J_11.MW443204",-126.897318425291,188.406396862985
"01_AE.TH.1990.CM244.EC1.MK501578",-131.624461019243,196.216231547849
"01_AE.TH.2012.40134v23_env02.OM826902",-128.421469223312,150.774083644372
"C.MW.2007.C.703010131.w04.34dps.e15.JX972511",-150.592238122213,-48.0563832326799
"C.ZA.2005.CHV0005444_CAP174.1.06H1a.FJ443268",-180.787579126494,-52.090079957979
"B.US.2016.603_W31_BULKCULTURE_P2C8.MH263029",100.326460209709,-7.75977707151225
"C.ZA.2007.C.x.07.CAP255.4.20G1.KC863455",-169.521628123292,-67.8732307232432
"01B.PH.2016.DEURF16PH011.MH078564",-121.090592094007,150.193151330938
"B.US.2016.B207_SC_S6.MG196553",123.556088994422,-20.9277128898891
"01_AE.TH.2012.C_PreART_21.ON863081",-113.213886502261,180.082602532224
"C.MW.2004.CHV0011410_1086H1.FJ444414",-168.046158328664,-65.5169994236567
"B.TT.1995.SC42_4E5.EU576969",111.092141095262,-6.3660644299724
"C.MW.2008.CH0848.3.d0135.60.21.KX217265",-165.755743951272,-84.9576418087066
"B.US.2004.A1P268E11.JQ251054",117.913493529035,-8.8885371985507
"C.MW.2009.CH0848.3.d0274.30.23.KX217350",-167.068472556515,-87.3137691319985
"B.GB..UK7FL18.DQ976430",116.745402960852,-8.77047540452819
"C.TZ.2008.CH0457_w02_e16.KT220823",-178.947728626586,-56.1890917133398
"01_AE.TH.2010.254029C01Rc.KT186007",-120.917829775101,181.717054019215
"B.US.1999.AD17_D25.GU331432",120.81740746715,-18.6268126248661
"01_AE.TH..3126B01.E14.KJ953048",-136.619784734443,193.26069437432
"B.US.2012.N8261_FL_CON.KU901976",118.649222127568,-8.80387495936385
"B.US..074603_B09.MT033895",121.512653604281,-6.52004208822259
"B.CN.2008.BJOX047000.e13.KM218222",97.5524999968345,4.00126607664627
"C.MW.2009.4037_Plasma_Visit1_amplicon13.KC186480",-173.365343878362,-32.6135136092784
"C.MW.2007.703010167_e29.JQ779899",-175.99191280042,-73.6341721624136
"01_AE.TH.2011.40436v14_09.KY580708",-130.889913052169,171.254523714005
"C.MW.2009.CH1012_3_d0166_ipe017_20_60.MG899128",-168.928075115099,-47.1407009290123
"C.MW.2008.CH427.PL.011608.UT.6.KY112214",-159.290254544092,-56.3841353660115
"B.US.2015.DONOR3tCD4Rep2A.F5.p7i2.KY612703",108.888741156379,15.2629938425303
"A1.KE.2010.20263v08_env27.MN791421",-103.260191208534,91.3915719073281
"B.US.1998.1059_08_F9.EU578924",123.342169846432,-4.13455947439329
"B.US.2016.9242_wk2_10_D14.MW060518",101.604463037756,-9.22285320327006
"B.US.2017.2303_EMDRp_3.MW754400",104.804427482562,10.136841342603
"B.US.2016.9250_rebound_S48_H3.MH575758",116.404965325049,-4.26030286165345
